Log start : Tue Dec 13 09:49:51 2011

Current Directory : e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Prison_passage1.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Prison_passage2.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Prison_passage3.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Prison_prison.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Prison_shower_room.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Model/man.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Model/woman.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Model/NPC/goblin.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Model/NPC/golem.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Model/NPC/Kobolt.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Model/NPC/Palmpoa.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Model/NPC/Skeleton.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Battle Arena.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Castle.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Catacomb.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Dungeon.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Factory.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Garden.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Hall.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/High_Haven.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Island.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Jail.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Lost Shrine.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/mansion.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Port.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/prison II.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/prison.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Ruin.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Shower Room.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Snow_Town.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Stairway.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/station.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Maps/Town.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Interface/default.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Interface/loadable.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Interface/Login.mrs (not exist)
09:49:54:775   [ZUpdatePatchNode] Needs to update : ./Interface/MonsterIllust.mrs (not exist)
09:49:54:775   [ZUpdate] Check valid from patch list successfully complete.
09:49:54:775   [ZUpdate] + Total patch file count : 91
09:49:54:775   [ZUpdate] + Total patch file size : 241116182 bytes
09:49:54:775   [APP] Exist patch file(s)
09:49:54:884   [APP] Start file updating...
09:49:54:884   [ZUpdate] Patch files.
09:49:54:884   [ZFileTransfer] Download file : ./BAReport.exe  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\BAReport.exe_
09:49:54:900   [ZFileTransfer] ERROR : Server error.
09:49:54:900   [ZFileTransfer] ERROR : Failed download : ./BAReport.exe
09:49:54:900   [ZUpdate] WARNNING : Retry patch file : .\PATCH\BAReport.exe_ , 1 retry
09:49:54:900   [ZFileTransfer] Download file : ./BAReport.exe  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\BAReport.exe_
09:49:54:900   [ZFileTransfer] ERROR : Server error.
09:49:54:900   [ZFileTransfer] ERROR : Failed download : ./BAReport.exe
09:49:54:900   [ZUpdate] ERROR : Fail to download file '.\PATCH\BAReport.exe_'
09:49:54:900   [ZFileTransfer] Download file : ./bdcap32.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\bdcap32.dll_
09:49:54:915   [ZFileTransfer] ERROR : Server error.
09:49:54:915   [ZFileTransfer] ERROR : Failed download : ./bdcap32.dll
09:49:54:915   [ZUpdate] WARNNING : Retry patch file : .\PATCH\bdcap32.dll_ , 1 retry
09:49:54:915   [ZFileTransfer] Download file : ./bdcap32.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\bdcap32.dll_
09:49:54:931   [ZFileTransfer] ERROR : Server error.
09:49:54:931   [ZFileTransfer] ERROR : Failed download : ./bdcap32.dll
09:49:54:931   [ZUpdate] ERROR : Fail to download file '.\PATCH\bdcap32.dll_'
09:49:54:931   [ZFileTransfer] Download file : ./bdcore32.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\bdcore32.dll_
09:49:55:025   [ZFileTransfer] ERROR : Server error.
09:49:55:025   [ZFileTransfer] ERROR : Failed download : ./bdcore32.dll
09:49:55:040   [ZUpdate] WARNNING : Retry patch file : .\PATCH\bdcore32.dll_ , 1 retry
09:49:55:040   [ZFileTransfer] Download file : ./bdcore32.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\bdcore32.dll_
09:49:55:040   [ZFileTransfer] ERROR : Server error.
09:49:55:040   [ZFileTransfer] ERROR : Failed download : ./bdcore32.dll
09:49:55:040   [ZUpdate] ERROR : Fail to download file '.\PATCH\bdcore32.dll_'
09:49:55:040   [ZFileTransfer] Download file : ./dbghelp.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\dbghelp.dll_
09:49:55:056   [ZFileTransfer] ERROR : Server error.
09:49:55:056   [ZFileTransfer] ERROR : Failed download : ./dbghelp.dll
09:49:55:072   [ZUpdate] WARNNING : Retry patch file : .\PATCH\dbghelp.dll_ , 1 retry
09:49:55:072   [ZFileTransfer] Download file : ./dbghelp.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\dbghelp.dll_
09:49:55:072   [ZFileTransfer] ERROR : Server error.
09:49:55:072   [ZFileTransfer] ERROR : Failed download : ./dbghelp.dll
09:49:55:072   [ZUpdate] ERROR : Fail to download file '.\PATCH\dbghelp.dll_'
09:49:55:072   [ZFileTransfer] Download file : ./fmod.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\fmod.dll_
09:49:55:087   [ZFileTransfer] ERROR : Server error.
09:49:55:087   [ZFileTransfer] ERROR : Failed download : ./fmod.dll
09:49:55:087   [ZUpdate] WARNNING : Retry patch file : .\PATCH\fmod.dll_ , 1 retry
09:49:55:087   [ZFileTransfer] Download file : ./fmod.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\fmod.dll_
09:49:55:103   [ZFileTransfer] ERROR : Server error.
09:49:55:103   [ZFileTransfer] ERROR : Failed download : ./fmod.dll
09:49:55:103   [ZUpdate] ERROR : Fail to download file '.\PATCH\fmod.dll_'
